,Position,Driver,Car,Lap,Time,Avg Speed
10,1,Juan Pablo Montoya,McLaren Mercedes,39,1:24.770,226.693
9,2,Kimi Räikkönen,McLaren Mercedes,40,1:25.030,226.000
5,3,Fernando Alonso,Renault,58,1:25.524,224.694
6,4,Giancarlo Fisichella,Renault,34,1:25.604,224.484
3,5,Jenson Button,BAR Honda,58,1:25.790,223.998
4,6,Takuma Sato,BAR Honda,54,1:25.858,223.820
16,7,Jarno Trulli,Toyota,52,1:26.178,222.989
15,8,Christian Klien,RBR Cosworth,58,1:26.374,222.483
14,9,David Coulthard,RBR Cosworth,58,1:26.417,222.372
12,10,Felipe Massa,Sauber Petronas,27,1:26.514,222.123
2,11,Rubens Barrichello,Ferrari,45,1:26.635,221.813
7,12,Mark Webber,Williams BMW,12,1:26.791,221.414
11,13,Jacques Villeneuve,Sauber Petronas,44,1:26.967,220.966
1,14,Michael Schumacher,Ferrari,21,1:26.991,220.905
17,15,Ralf Schumacher,Toyota,38,1:27.025,220.819
8,16,Nick Heidfeld,Williams BMW,25,1:27.353,219.990
18,17,Tiago Monteiro,Jordan Toyota,50,1:29.035,215.834
20,18,Robert Doornbos,Minardi Cosworth,53,1:29.229,215.364
19,19,Narain Karthikeyan,Jordan Toyota,42,1:29.286,215.227
21,20,Christijan Albers,Minardi Cosworth,13,1:29.392,214.972
