,Position,Driver,Car,Laps,Time,Points
6,1,Felipe Massa,Ferrari,58,1:28:51.082,10
1,2,Fernando Alonso,Renault,58,+5.575s,8
5,3,Michael Schumacher,Ferrari,58,+5.656s,6
12,4,Jenson Button,Honda,58,+12.334s,5
4,5,Pedro de la Rosa,McLaren Mercedes,58,+45.908s,4
2,6,Giancarlo Fisichella,Renault,58,+46.594s,3
7,7,Ralf Schumacher,Toyota,58,+59.337s,2
11,8,Rubens Barrichello,Honda,58,+60.034s,1
8,9,Jarno Trulli,Toyota,57,+1 lap,0
9,10,Mark Webber,Williams Cosworth,57,+1 lap,0
15,11,Christian Klien,RBR Ferrari,57,+1 lap,0
17,12,Robert Kubica,Sauber BMW,57,+1 lap,0
21,13,Scott Speed,STR Cosworth,57,+1 lap,0
16,14,Nick Heidfeld,Sauber BMW,56,+2 laps,0
14,15,David Coulthard,RBR Ferrari,55,+3 laps,0
19,NC,Christijan Albers,MF1 Toyota,46,DNF,0
22,NC,Takuma Sato,Super Aguri Honda,41,+17 laps,0
10,NC,Nico Rosberg,Williams Cosworth,25,DNF,0
23,NC,Sakon Yamamoto,Super Aguri Honda,23,DNF,0
20,NC,Vitantonio Liuzzi,STR Cosworth,12,DNF,0
3,NC,Kimi Räikkönen,McLaren Mercedes,1,DNF,0
18,NC,Tiago Monteiro,MF1 Toyota,0,DNF,0
