,Position,Driver,Car,Time
6,1,Felipe Massa,Ferrari,1:26.907
5,2,Michael Schumacher,Ferrari,1:27.284
1,3,Fernando Alonso,Renault,1:27.321
2,4,Giancarlo Fisichella,Renault,1:27.564
16,5,Nick Heidfeld,Sauber BMW,1:27.785
12,6,Jenson Button,Honda,1:27.790
3,7,Kimi Räikkönen,McLaren Mercedes,1:27.866
17,8,Robert Kubica,Sauber BMW,1:28.167
9,9,Mark Webber,Williams Cosworth,1:29.436
15,10,Christian Klien,RBR Ferrari,1:27.852
4,11,Pedro de la Rosa,McLaren Mercedes,1:27.897
8,12,Jarno Trulli,Toyota,1:27.973
11,13,Rubens Barrichello,Honda,1:28.257
10,14,Nico Rosberg,Williams Cosworth,1:28.386
7,15,Ralf Schumacher,Toyota,1:27.569
14,16,David Coulthard,RBR Ferrari,1:29.136
21,17,Scott Speed,STR Cosworth,1:29.158
20,18,Vitantonio Liuzzi,STR Cosworth,1:29.250
18,19,Tiago Monteiro,MF1 Toyota,1:29.901
23,20,Sakon Yamamoto,Super Aguri Honda,1:30.607
22,21,Takuma Sato,Super Aguri Honda,1:30.850
19,22,Christijan Albers,MF1 Toyota,1:28.639
