,Position,Driver,Car,Q1,Q2,Q3,Laps
15,1,Sebastian Vettel,RBR Renault,1:27.330,1:27.016,1:28.316,17
22,2,Jenson Button,Brawn Mercedes,1:27.355,1:27.230,1:28.421,22
23,3,Rubens Barrichello,Brawn Mercedes,1:27.371,1:27.418,1:28.579,19
14,4,Mark Webber,RBR Renault,1:27.466,1:27.416,1:28.613,20
9,5,Jarno Trulli,Toyota,1:27.529,1:27.195,1:28.666,24
4,6,Kimi Räikkönen,Ferrari,1:27.556,1:27.387,1:28.815,24
3,7,Felipe Massa,Ferrari,1:27.508,1:27.349,1:28.858,23
7,8,Fernando Alonso,Renault,1:27.988,1:27.473,1:29.075,20
16,9,Nico Rosberg,Williams Toyota,1:27.517,1:27.418,1:29.191,27
5,10,Robert Kubica,Sauber BMW,1:27.788,1:27.455,1:29.357,20
6,11,Nick Heidfeld,Sauber BMW,1:27.795,1:27.521,,16
17,12,Kazuki Nakajima,Williams Toyota,1:27.691,1:27.629,,20
10,13,Timo Glock,Toyota,1:28.160,1:27.795,,18
2,14,Heikki Kovalainen,McLaren Mercedes,1:28.199,1:28.207,,18
20,15,Adrian Sutil,Force India Mercedes,1:28.278,1:28.391,,18
1,16,Lewis Hamilton,McLaren Mercedes,1:28.318,,,9
8,17,Nelson Piquet,Renault,1:28.582,,,8
12,18,Sebastien Buemi,STR Ferrari,1:28.708,,,12
21,19,Giancarlo Fisichella,Force India Mercedes,1:28.717,,,11
11,20,Sebastien Bourdais,STR Ferrari,1:28.918,,,9
