,Position,Driver,Car,Time / Gap,Laps
5,1,Fernando Alonso,Ferrari,1:38.670,13
8,2,Nico Rosberg,Mercedes,+1.402s,14
7,3,Michael Schumacher,Mercedes,+1.462s,18
9,4,Nick Heidfeld,Renault,+1.668s,9
10,5,Vitaly Petrov,Renault,+1.731s,10
16,6,Kamui Kobayashi,Sauber Ferrari,+1.751s,16
6,7,Felipe Massa,Ferrari,+2.027s,14
19,8,Daniel Ricciardo,STR Ferrari,+2.424s,18
18,9,Sebastien Buemi,STR Ferrari,+2.508s,22
14,10,Nico Hulkenberg,Force India Mercedes,+2.677s,16
2,11,Mark Webber,Red Bull Racing Renault,+3.894s,5
12,12,Pastor Maldonado,Williams Cosworth,+3.927s,7
15,13,Paul di Resta,Force India Mercedes,+4.855s,11
11,14,Rubens Barrichello,Williams Cosworth,+5.243s,5
21,15,Jarno Trulli,Lotus Renault,+5.316s,6
23,16,Vitantonio Liuzzi,HRT Cosworth,+6.117s,20
1,17,Sebastian Vettel,Red Bull Racing Renault,+6.284s,4
24,18,Timo Glock,Virgin Cosworth,+6.513s,15
25,19,Jerome d'Ambrosio,Virgin Cosworth,+6.567s,11
22,20,Narain Karthikeyan,HRT Cosworth,+9.791s,8
20,21,Karun Chandhok,Lotus Renault,+13.006s,6
17,22,Sergio Perez,Sauber Ferrari,+17.121s,13
4,23,Jenson Button,McLaren Mercedes,+21.996s,4
3,24,Lewis Hamilton,McLaren Mercedes,,1
