,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,58,1:30.432,212.500,16:34:25
55,2,Carlos Sainz,Ferrari,49,1:31.921,209.057,16:21:24
4,3,Lando Norris,McLaren Mercedes,50,1:32.446,207.870,16:22:44
11,4,Sergio Perez,Red Bull Racing Honda,53,1:32.459,207.841,16:27:11
7,5,Kimi Räikkönen,Alfa Romeo Racing Ferrari,50,1:32.586,207.556,16:23:40
18,6,Lance Stroll,Aston Martin Mercedes,58,1:32.608,207.506,16:35:47
5,7,Sebastian Vettel,Aston Martin Mercedes,54,1:32.730,207.233,16:30:43
16,8,Charles Leclerc,Ferrari,57,1:32.737,207.218,16:33:29
33,9,Max Verstappen,Red Bull Racing Honda,53,1:32.759,207.169,16:26:52
44,10,Lewis Hamilton,Mercedes,52,1:32.763,207.160,16:25:43
10,11,Pierre Gasly,AlphaTauri Honda,50,1:32.814,207.046,16:22:40
22,12,Yuki Tsunoda,AlphaTauri Honda,54,1:32.844,206.979,16:30:09
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,57,1:32.904,206.845,16:34:37
14,14,Fernando Alonso,Alpine Renault,55,1:33.252,206.073,16:31:47
3,15,Daniel Ricciardo,McLaren Mercedes,34,1:33.255,206.067,15:58:07
63,16,George Russell,Williams Mercedes,53,1:33.399,205.749,16:28:38
6,17,Nicholas Latifi,Williams Mercedes,48,1:33.672,205.149,16:20:52
47,18,Mick Schumacher,Haas Ferrari,52,1:34.209,203.980,16:28:14
31,19,Esteban Ocon,Alpine Renault,24,1:34.584,203.171,15:41:50
9,20,Nikita Mazepin,Haas Ferrari,52,1:35.438,201.353,16:28:32
