,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,58,1:18.833,239.518,17:31:41
77,2,Valtteri Bottas,Mercedes,53,1:19.432,237.712,17:25:01
23,3,Alexander Albon,Red Bull Racing Honda,51,1:20.039,235.909,17:22:22
3,4,Daniel Ricciardo,Renault,57,1:20.426,234.774,17:30:29
11,5,Sergio Perez,Racing Point BWT Mercedes,59,1:20.632,234.175,17:33:16
7,6,Kimi Räikkönen,Alfa Romeo Racing Ferrari,59,1:21.164,232.640,17:33:25
4,7,Lando Norris,McLaren Renault,59,1:21.198,232.542,17:33:19
5,8,Sebastian Vettel,Ferrari,59,1:21.202,232.531,17:33:30
16,9,Charles Leclerc,Ferrari,50,1:21.229,232.453,17:21:11
26,10,Daniil Kvyat,AlphaTauri Honda,51,1:21.458,231.800,17:22:29
63,11,George Russell,Williams Mercedes,58,1:21.645,231.269,17:32:11
18,12,Lance Stroll,Racing Point BWT Mercedes,42,1:22.068,230.077,16:44:58
8,13,Romain Grosjean,Haas Ferrari,59,1:22.263,229.532,17:33:42
6,14,Nicholas Latifi,Williams Mercedes,6,2:11.365,143.736,15:26:54
31,15,Esteban Ocon,Renault,6,2:11.793,143.270,15:26:50
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,4,2:13.809,141.111,15:22:29
20,17,Kevin Magnussen,Haas Ferrari,4,2:13.812,141.108,15:22:27
55,18,Carlos Sainz,McLaren Renault,5,2:14.103,140.802,15:24:44
