,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:15.144
77,2,Valtteri Bottas,Mercedes,1:15.203
33,3,Max Verstappen,Red Bull Racing Honda,1:15.509
23,4,Alexander Albon,Red Bull Racing Honda,1:15.954
16,5,Charles Leclerc,Ferrari,1:16.270
18,6,Lance Stroll,Racing Point BWT Mercedes,1:16.356
11,7,Sergio Perez,Racing Point BWT Mercedes,1:16.311
3,8,Daniel Ricciardo,Renault,1:16.543
55,9,Carlos Sainz,McLaren Renault,1:17.870
31,10,Esteban Ocon,Renault,
4,11,Lando Norris,McLaren Renault,1:16.640
26,12,Daniil Kvyat,AlphaTauri Honda,1:16.854
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:16.854
5,14,Sebastian Vettel,Ferrari,1:16.858
8,15,Romain Grosjean,Haas Ferrari,1:17.254
10,16,Pierre Gasly,AlphaTauri Honda,1:17.125
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:17.220
63,18,George Russell,Williams Mercedes,1:17.232
6,19,Nicholas Latifi,Williams Mercedes,1:17.320
20,20,Kevin Magnussen,Haas Ferrari,1:17.348
