,Position,Driver,Car,Laps,Time,Points
1,1,Jim Clark,Lotus BRM,108,2:09:40.100,9
8,2,Jochen Rindt,Cooper Maserati,107,+1 lap,6
7,3,John Surtees,Cooper Maserati,107,+1 lap,4
19,4,Jo Siffert,Cooper Maserati,105,+3 laps,3
17,5,Bruce McLaren,McLaren Ford,105,+3 laps,2
2,6,Peter  Arundell ,Lotus Climax,101,+7 laps,1
10,NC,Innes Ireland,BRM,96,DNF,0
12,NC,Richie Ginther,Honda,81,+27 laps,0
18,NC,Mike Spence,Lotus BRM,74,DNF,0
14,NC,Ronnie Bucknum,Honda,58,DNF,0
22,NC,Jo Bonnier,Cooper Maserati,57,+51 laps,0
5,NC,Jack Brabham,Brabham Repco,55,DNF,0
4,NC,Jackie Stewart,BRM,53,DNF,0
3,NC,Graham Hill,BRM,52,DNF,0
9,NC,Lorenzo Bandini,Ferrari,34,DNF,0
6,NC,Denny Hulme,Brabham Repco,18,DNF,0
15,NC,Dan Gurney,Eagle Weslake,13,DNF,0
11,NC,Pedro Rodriguez,Lotus BRM,13,DNF,0
16,DQ,Bob Bondurant,Eagle Weslake,5,DSQ,0
