,Position,Driver,Car,Time
7,1,Carlos Reutemann,Brabham Ford,1:38.978
24,2,James Hunt,March Ford,1:38.995
55,3,Mario Andretti,Parnelli Ford,1:39.209
8,4,Carlos Pace,Brabham Ford,1:39.284
12,5,Niki Lauda,Ferrari,1:39.327
3,6,Jody Scheckter,Tyrrell Ford,1:39.478
28,7,John Watson,Brabham Ford,1:39.527
5,8,Emerson Fittipaldi,McLaren Ford,1:39.538
11,9,Clay Regazzoni,Ferrari,1:39.600
17,10,Jean-Pierre Jarier,Shadow Ford,1:40.317
21,11,Jacques Laffite,Iso Marlboro Ford,1:40.597
15,12,Chris Amon,BRM,1:40.700
4,13,Patrick Depailler,Tyrrell Ford,1:40.700
66,14,Mark Donohue,Penske Ford,1:40.834
20,15,Arturo Merzario,Iso Marlboro Ford,1:40.854
2,16,Jacky Ickx,Lotus Ford,1:40.876
6,17,Denny Hulme,McLaren Ford,1:41.027
16,18,Tom Pryce,Shadow Ford,1:41.188
1,19,Ronnie Peterson,Lotus Ford,1:41.195
33,20,Jochen Mass,McLaren Ford,1:41.300
27,21,Rolf Stommelen,Lola Ford,1:41.370
22,22,Mike Wilds,Ensign Ford,1:41.500
19,23,Helmuth  Koinigg ,Surtees Ford,1:41.763
26,24,Graham Hill,Lola Ford,1:41.901
10,25,Vittorio Brambilla,March Ford,1:42.031
18,26,Jose  Dolhem ,Surtees Ford,1:42.914
31,27,Tim   Schenken,Lotus Ford,1:43.243
