,Position,Driver,Car,Time
1,1,Ayrton Senna,McLaren Honda,1:30.108
7,1,Martin Brundle,Brabham Judd,1:32.293
2,2,Alain Prost,McLaren Honda,1:31.517
21,2,Alex Caffi,Dallara Ford,1:32.992
19,3,Alessandro Nannini,Benetton Ford,1:31.799
36,3,Stefan Johansson,Onyx Ford,1:33.768
27,4,Nigel Mansell,Ferrari,1:31.927
8,4,Stefano Modena,Brabham Judd,1:33.924
18,5,Piercarlo Ghinzani,Osella Ford,1:34.281
32,6,Pierre Henri Raphanel,Coloni Ford,1:35.110
33,7,Gregor Foitek,Euro Brun Judd,1:35.805
28,8,Gerhard Berger,Ferrari,1:32.364
17,8,Nicola Larini,Osella Ford,1:36.470
4,9,Michele Alboreto,Tyrrell Ford,1:32.491
41,9,Joachim Winkelhock,AGS Ford,1:36.498
39,10,Volker Weidler,Rial Ford,1:36.583
9,10,Derek Warwick,Arrows Ford,1:32.492
34,11,Bernd Schneider,Zakspeed Yamaha,1:36.610
16,11,Ivan Capelli,March Judd,1:32.493
30,12,Philippe Alliot,Lola Lamborghini,1:32.562
35,12,Aguri Suzuki,Zakspeed Yamaha,1:37.776
22,13,Andrea de Cesaris,Dallara Ford,1:32.649
37,13,Bertrand Gachot,Onyx Ford,1:45.530
6,14,Riccardo Patrese,Williams Renault,1:32.795
23,15,Pierluigi Martini,Minardi Ford,1:33.031
5,16,Thierry Boutsen,Williams Renault,1:33.044
10,17,Eddie  Cheever,Arrows Ford,1:33.214
15,18,Mauricio Gugelmin,March Judd,1:33.324
24,20,Luis Perez-Sala,Minardi Ford,1:33.724
3,21,Jonathan  Palmer,Tyrrell Ford,1:33.741
11,22,Nelson Piquet,Lotus Judd,1:33.745
12,23,Satoru Nakajima,Lotus Judd,1:33.782
40,24,Gabriele Tarquini,AGS Ford,1:33.790
20,25,Johnny Herbert,Benetton Ford,1:33.806
38,26,Christian Danner,Rial Ford,1:33.848
26,27,Olivier Grouillard,Ligier Ford,1:34.153
31,28,Roberto Moreno,Coloni Ford,1:34.352
25,29,Rene Arnoux,Ligier Ford,1:34.798
29,30,Yannick Dalmas,Lola Lamborghini,1:35.496
