,Position,Driver,Car,Time / Gap
19,1,Alessandro Nannini,Benetton Ford,1:51.939
14,2,Olivier Grouillard,Osella Ford,+0.284s
11,3,Derek Warwick,Lotus Lamborghini,+0.595s
4,4,Jean Alesi,Tyrrell Ford,+1.699s
10,5,Bernd Schneider,Arrows Ford,+2.579s
3,6,Satoru Nakajima,Tyrrell Ford,+4.720s
23,7,Pierluigi Martini,Minardi Ford,+5.054s
2,8,Nigel Mansell,Ferrari,+5.314s
5,9,Thierry Boutsen,Williams Renault,+5.732s
9,10,Michele Alboreto,Arrows Ford,+5.797s
24,11,Paolo Barilla,Minardi Ford,+6.536s
29,12,Eric Bernard,Lola Lamborghini,+7.186s
27,13,Ayrton Senna,McLaren Honda,+7.792s
6,14,Riccardo Patrese,Williams Renault,+7.923s
33,15,Roberto Moreno,Euro Brun Judd,+11.498s
15,16,Mauricio Gugelmin,Leyton House Judd,+11.699s
12,17,Martin Donnelly,Lotus Lamborghini,+12.724s
16,18,Ivan Capelli,Leyton House Judd,+22.480s
36,19,Jyrki Jarvilehto,Onyx Ford,+34.933s
35,20,Stefan Johansson,Onyx Ford,+36.283s
22,21,Andrea de Cesaris,Dallara Ford,+41.180s
25,22,Nicola Larini,Ligier Ford,+1206.389s
1,23,Alain Prost,Ferrari,+1730.170s
