,Position,Driver,Car,Lap,Time
28,1,Jean Alesi,Ferrari,49,1:26.758
27,2,Alain Prost,Ferrari,68,1:26.845
20,3,Nelson Piquet,Benetton Ford,67,1:26.965
1,4,Ayrton Senna,McLaren Honda,39,1:27.153
6,5,Riccardo Patrese,Williams Renault,24,1:27.450
4,6,Stefano Modena,Tyrrell Honda,69,1:27.983
19,7,Roberto Moreno,Benetton Ford,40,1:28.044
3,8,Satoru Nakajima,Tyrrell Honda,67,1:28.227
2,9,Gerhard Berger,McLaren Honda,33,1:28.286
5,10,Nigel Mansell,Williams Renault,28,1:28.502
32,11,Bertrand Gachot,Jordan Ford,73,1:28.975
30,12,Aguri Suzuki,Lola Ford,12,1:28.993
11,13,Mika Hakkinen,Lotus Judd,43,1:29.072
16,14,Ivan Capelli,Leyton House Ilmor,30,1:29.201
25,15,Thierry Boutsen,Ligier Lamborghini,40,1:29.310
23,16,Pierluigi Martini,Minardi Ferrari,47,1:29.356
15,17,Mauricio Gugelmin,Leyton House Ilmor,24,1:29.505
34,18,Nicola Larini,Lambo Lamborghini,46,1:29.877
21,19,Emanuele Pirro,Dallara Judd,14,1:29.910
9,20,Michele Alboreto,Footwork Porsche,27,1:30.077
17,21,Gabriele Tarquini,AGS Ford,73,1:30.242
7,22,Martin Brundle,Brabham Yamaha,29,1:30.472
8,23,Mark Blundell,Brabham Yamaha,32,1:31.092
22,24,Jyrki Jarvilehto,Dallara Judd,6,1:31.435
24,25,Gianni Morbidelli,Minardi Ferrari,13,1:31.631
29,26,Eric Bernard,Lola Ford,4,1:31.732
