,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Rubens Barrichello,Ferrari,7,1:10.399,214.366
1,2,Michael Schumacher,Ferrari,8,1:10.412,214.327
10,3,Takuma Sato,BAR Honda,47,1:10.727,213.372
17,4,Olivier Panis,Toyota,46,1:10.933,212.752
9,5,Jenson Button,BAR Honda,22,1:11.025,212.477
7,6,Jarno Trulli,Renault,45,1:11.187,211.993
8,7,Fernando Alonso,Renault,8,1:11.236,211.847
6,8,Kimi Räikkönen,McLaren Mercedes,59,1:11.248,211.812
3,9,Juan Pablo Montoya,Williams BMW,37,1:11.255,211.791
4,10,Ralf Schumacher,Williams BMW,8,1:11.982,209.652
11,11,Giancarlo Fisichella,Sauber Petronas,44,1:12.129,209.225
14,12,Mark Webber,Jaguar Cosworth,46,1:12.140,209.193
5,13,David Coulthard,McLaren Mercedes,44,1:12.155,209.149
16,14,Cristiano da Matta,Toyota,8,1:12.872,207.091
18,15,Nick Heidfeld,Jordan Ford,37,1:13.095,206.460
21,16,Zsolt Baumgartner,Minardi Cosworth,39,1:14.097,203.668
