,Position,Driver,Car,Time,Laps
16,1,Jarno Trulli,Toyota,1:10.625,3
9,2,Kimi Räikkönen,McLaren Mercedes,1:10.694,3
3,3,Jenson Button,BAR Honda,1:11.277,3
6,4,Giancarlo Fisichella,Renault,1:11.290,3
1,5,Michael Schumacher,Ferrari,1:11.369,3
5,6,Fernando Alonso,Renault,1:11.380,3
2,7,Rubens Barrichello,Ferrari,1:11.431,3
4,8,Takuma Sato,BAR Honda,1:11.497,3
7,9,Mark Webber,Williams BMW,1:11.527,3
12,10,Felipe Massa,Sauber Petronas,1:11.555,3
10,11,Juan Pablo Montoya,McLaren Mercedes,1:11.681,3
11,12,Jacques Villeneuve,Sauber Petronas,1:11.691,3
17,13,Ricardo Zonta,Toyota,1:11.754,3
15,14,Christian Klien,RBR Cosworth,1:12.132,3
8,15,Nick Heidfeld,Williams BMW,1:12.430,3
14,16,David Coulthard,RBR Cosworth,1:12.682,3
18,17,Tiago Monteiro,Jordan Toyota,1:13.462,3
21,18,Christijan Albers,Minardi Cosworth,1:13.632,3
19,19,Narain Karthikeyan,Jordan Toyota,1:13.776,3
20,20,Patrick Friesacher ,Minardi Cosworth,1:14.494,3
