,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,40,1:37.392,203.782,14:21:42
33,2,Max Verstappen,Red Bull Racing TAG Heuer,45,1:38.246,202.011,14:29:49
5,3,Sebastian Vettel,Ferrari,41,1:38.280,201.941,14:23:27
77,4,Valtteri Bottas,Mercedes,46,1:38.470,201.551,14:31:40
7,5,Kimi Räikkönen,Ferrari,45,1:38.482,201.527,14:29:47
20,6,Kevin Magnussen,Haas Ferrari,32,1:38.963,200.547,14:09:28
2,7,Stoffel Vandoorne,McLaren Renault,42,1:39.240,199.987,14:26:49
27,8,Nico Hulkenberg,Renault,51,1:39.548,199.369,14:41:00
11,9,Sergio Perez,Force India Mercedes,36,1:39.569,199.327,14:16:11
10,10,Pierre Gasly,Scuderia Toro Rosso Honda,38,1:39.646,199.173,14:20:14
55,11,Carlos Sainz,Renault,45,1:39.858,198.750,14:31:06
28,12,Brendon Hartley,Scuderia Toro Rosso Honda,52,1:39.915,198.636,14:43:26
31,13,Esteban Ocon,Force India Mercedes,45,1:39.992,198.483,14:31:09
9,14,Marcus Ericsson,Sauber Ferrari,33,1:40.098,198.273,14:11:29
18,15,Lance Stroll,Williams Mercedes,49,1:40.433,197.612,14:39:51
35,16,Sergey Sirotkin,Williams Mercedes,12,1:40.522,197.437,13:35:20
3,17,Daniel Ricciardo,Red Bull Racing TAG Heuer,5,1:40.933,196.633,13:22:07
16,18,Charles Leclerc,Sauber Ferrari,12,1:41.982,194.610,13:35:44
