,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:34.057,26
5,2,Sebastian Vettel,Ferrari,+0.169s,30
23,3,Alexander Albon,Red Bull Racing Honda,+0.259s,28
10,4,Pierre Gasly,Scuderia Toro Rosso Honda,+0.951s,32
3,5,Daniel Ricciardo,Renault,+1.206s,29
8,6,Romain Grosjean,Haas Ferrari,+1.299s,24
16,7,Charles Leclerc,Ferrari,+1.323s,23
44,8,Lewis Hamilton,Mercedes,+1.382s,32
18,9,Lance Stroll,Racing Point BWT Mercedes,+1.529s,31
20,10,Kevin Magnussen,Haas Ferrari,+1.602s,23
26,11,Daniil Kvyat,Scuderia Toro Rosso Honda,+1.604s,31
55,12,Carlos Sainz,McLaren Renault,+1.666s,26
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.797s,22
11,14,Sergio Perez,Racing Point BWT Mercedes,+1.914s,29
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.980s,26
27,16,Nico Hulkenberg,Renault,+2.067s,24
77,17,Valtteri Bottas,Mercedes,+2.102s,40
4,18,Lando Norris,McLaren Renault,+2.206s,23
88,19,Robert Kubica,Williams Mercedes,+3.891s,28
40,20,Nicholas Latifi,Williams Mercedes,+7.055s,7
