,Position,Driver,Car,Time
23,1,Bruno Giacomelli,Alfa Romeo,1:33.291
5,2,Nelson Piquet,Brabham Ford,1:34.080
28,3,Carlos Reutemann,Williams Ford,1:34.111
12,4,Elio de Angelis,Lotus Ford,1:34.185
27,5,Alan  Jones,Williams Ford,1:34.216
16,6,Rene Arnoux,Renault,1:34.839
25,7,Didier Pironi,Ligier Ford,1:34.971
6,8,Hector Rebaque,Brabham Ford,1:35.166
7,9,John Watson,McLaren Ford,1:35.202
22,10,Andrea de Cesaris,Alfa Romeo,1:35.235
11,11,Mario Andretti,Lotus Ford,1:35.343
26,12,Jacques Laffite,Ligier Ford,1:35.421
21,14,Keke Rosberg,Fittipaldi Ford,1:36.332
50,15,Rupert Keegan,Williams Ford,1:36.750
31,16,Eddie  Cheever,Osella Ford,1:36.908
9,17,Marc Surer,ATS Ford,1:37.001
2,18,Gilles Villeneuve,Ferrari,1:37.040
20,19,Emerson Fittipaldi,Fittipaldi Ford,1:37.088
29,20,Riccardo Patrese,Arrows Ford,1:37.405
4,21,Derek Daly,Tyrrell Ford,1:37.923
3,22,Jean-Pierre Jarier,Tyrrell Ford,1:37.966
1,23,Jody Scheckter,Ferrari,1:38.149
30,24,Jochen Mass,Arrows Ford,1:38.526
14,25,Jan Lammers,Ensign Ford,1:38.532
