,Position,Driver,Car,Laps,Time,Points
2,1,Clay Regazzoni,Ferrari,80,1:53:18.471,9
1,2,Niki Lauda,Ferrari,80,+42.414s,6
4,3,Patrick Depailler,Tyrrell Ford,80,+49.972s,4
26,4,Jacques Laffite,Ligier Matra,80,+72.828s,3
12,5,Jochen Mass,McLaren Ford,80,+82.292s,2
30,6,Emerson Fittipaldi,Fittipaldi Ford,79,+1 lap,1
17,7,Jean-Pierre Jarier,Shadow Ford,79,+1 lap,0
22,8,Chris Amon,Ensign Ford,78,+2 laps,0
8,9,Carlos Pace,Brabham Alfa Romeo,77,+3 laps,0
10,10,Ronnie Peterson,March Ford,77,+3 laps,0
19,NC,Alan  Jones,Surtees Ford,70,+10 laps,0
28,NC,John Watson,Penske Ford,69,+11 laps,0
3,NC,Jody Scheckter,Tyrrell Ford,34,DNF,0
16,NC,Tom Pryce,Shadow Ford,32,DNF,0
27,NC,Mario Andretti,Parnelli Ford,15,DNF,0
11,NC,James Hunt,McLaren Ford,3,DNF,0
34,NC,Hans-Joachim Stuck,March Ford,2,DNF,0
6,NC,Gunnar Nilsson,Lotus Ford,0,DNF,0
7,NC,Carlos Reutemann,Brabham Alfa Romeo,0,DNF,0
9,NC,Vittorio Brambilla,March Ford,0,DNF,0
