,Position,Driver,Car,Time
22,1,Andrea de Cesaris,Alfa Romeo,1:27.316
8,2,Niki Lauda,McLaren Ford,1:27.436
16,3,Rene Arnoux,Renault,1:27.763
15,4,Alain Prost,Renault,1:27.979
23,5,Bruno Giacomelli,Alfa Romeo,1:28.087
1,6,Nelson Piquet,Brabham Ford,1:28.276
27,7,Gilles Villeneuve,Ferrari,1:28.476
6,8,Keke Rosberg,Williams Ford,1:28.576
28,9,Didier Pironi,Ferrari,1:28.680
31,10,Jean-Pierre Jarier,Osella Ford,1:28.708
7,11,John Watson,McLaren Ford,1:28.885
3,12,Michele Alboreto,Tyrrell Ford,1:29.027
25,13,Eddie  Cheever,Ligier Matra,1:29.336
5,14,Mario Andretti,Williams Ford,1:29.468
26,15,Jacques Laffite,Ligier Matra,1:29.587
11,16,Elio de Angelis,Lotus Ford,1:29.694
12,17,Nigel Mansell,Lotus Ford,1:29.758
2,18,Riccardo Patrese,Brabham Ford,1:29.948
14,19,Roberto Guerrero,Ensign Ford,1:30.186
29,20,Brian Henton,Arrows Ford,1:30.474
17,21,Jochen Mass,March Ford,1:30.476
33,22,Derek Daly,Theodore Ford,1:30.919
18,23,Raul Boesel,March Ford,1:30.977
4,24,Slim Borgudd,Tyrrell Ford,1:31.033
9,25,Manfred Winkelhock,ATS Ford,1:31.593
10,26,Eliseo Salazar,ATS Ford,1:31.825
