,alpine
Season Position,5th
Season Points,23
Grand Prix Races,4
Grand Prix Points,22
Grand Prix Wins,0
Grand Prix Podiums,0
Grand Prix Poles,0
Grand Prix Top 10s,5
DHL Fastest Laps,0
DNFs,1
Sprint Races,2
Sprint Points,1
Sprint Wins,0
Sprint Podiums,0
Sprint Poles,0
Sprint Top 10s,2
Full Team Name,BWT Alpine Formula One Team
Base,"Enstone, United Kingdom"
Team Chief,Flavio Briatore
Technical Chief,David Sanchez
Chassis,A526
Power Unit,Mercedes
Reserve Driver,"Paul Aron, Kush Maini"
First Team Entry,1986
Drivers,Pierre Gasly / Franco Colapinto
