,aston-martin
Season Position,11th
Season Points,0
Grand Prix Races,4
Grand Prix Points,0
Grand Prix Wins,0
Grand Prix Podiums,0
Grand Prix Poles,0
Grand Prix Top 10s,0
DHL Fastest Laps,0
DNFs,4
Sprint Races,2
Sprint Points,0
Sprint Wins,0
Sprint Podiums,0
Sprint Poles,0
Sprint Top 10s,0
Full Team Name,Aston Martin Aramco Formula One Team
Base,"Silverstone, United Kingdom"
Team Chief,Adrian Newey
Technical Chief,Enrico Cardile
Chassis,AMR26
Power Unit,Honda
Reserve Driver,Jak Crawford
First Team Entry,2018
Drivers,Fernando Alonso / Lance Stroll
