,haas
Season Position,8th
Season Points,73
Grand Prix Races,23
Grand Prix Points,67
Grand Prix Wins,0
Grand Prix Podiums,0
Grand Prix Poles,0
Grand Prix Top 10s,17
DHL Fastest Laps,0
DNFs,4
Sprint Races,6
Sprint Points,6
Sprint Wins,0
Sprint Podiums,0
Sprint Poles,0
Sprint Top 10s,2
Full Team Name,MoneyGram Haas F1 Team
Base,"Kannapolis, United States"
Team Chief,Ayao Komatsu
Technical Chief,Andrea De Zordo
Chassis,VF-25
Power Unit,Ferrari
Reserve Driver,Ryo Hirakawa
First Team Entry,2016
Drivers,Esteban Ocon / Oliver Bearman
