,mclaren
Season Position,1st
Season Points,516
Grand Prix Races,13
Grand Prix Points,480
Grand Prix Wins,10
Grand Prix Podiums,22
Grand Prix Poles,8
Grand Prix Top 10s,25
DHL Fastest Laps,9
DNFs,1
Sprint Races,3
Sprint Points,36
Sprint Wins,1
Sprint Podiums,5
Sprint Poles,1
Sprint Top 10s,6
Full Team Name,McLaren Formula 1 Team
Base,"Woking, United Kingdom"
Team Chief,Andrea Stella
Technical Chief,Peter Prodromou / Neil Houldey
Chassis,MCL39
Power Unit,Mercedes
Reserve Driver,
First Team Entry,1966
Drivers,Oscar Piastri / Lando Norris
