,racing-bulls
Season Position,7th
Season Points,14
Grand Prix Races,4
Grand Prix Points,12
Grand Prix Wins,0
Grand Prix Podiums,0
Grand Prix Poles,0
Grand Prix Top 10s,3
DHL Fastest Laps,0
DNFs,1
Sprint Races,2
Sprint Points,2
Sprint Wins,0
Sprint Podiums,0
Sprint Poles,0
Sprint Top 10s,1
Full Team Name,Visa Cash App Racing Bulls Formula One Team
Base,"Faenza, Italy"
Team Chief,Alan Permane
Technical Chief,Tim Goss
Chassis,VCARB 03
Power Unit,Red Bull Ford
Reserve Driver,Yuki Tsunoda
First Team Entry,1985
Drivers,Liam Lawson / Arvid Lindblad
