,red-bull-racing
Season Position,4th
Season Points,30
Grand Prix Races,4
Grand Prix Points,26
Grand Prix Wins,0
Grand Prix Podiums,0
Grand Prix Poles,0
Grand Prix Top 10s,4
DHL Fastest Laps,1
DNFs,3
Sprint Races,2
Sprint Points,4
Sprint Wins,0
Sprint Podiums,0
Sprint Poles,0
Sprint Top 10s,3
Full Team Name,Oracle Red Bull Racing
Base,"Milton Keynes, United Kingdom"
Team Chief,Laurent Mekies
Technical Chief,Pierre Waché
Chassis,RB22
Power Unit,Red Bull Ford
Reserve Driver,
First Team Entry,1997
Drivers,Max Verstappen / Isack Hadjar
